-1.6692,-0.29981,0.52418,-0.25919,2.3553,-35.572,-81.34,-1.3217,0.71083,-8.2882,-0.9176,-0.021663,-1.111
-0.66925,-0.29981,0.52418,-0.25919,5.1553,41.128,76.16,4.7783,13.511,-23.288,0.4824,-0.021663,-1.111
2.3308,-0.29981,1.5242,1.7408,0.55532,13.528,247.36,-0.52166,2.6108,-16.288,0.4824,-0.021663,1.7008
-2.6692,-2.2998,0.52418,-2.2592,3.9553,101.23,132.96,0.47834,9.0108,-17.288,-1.8176,-0.021663,-1.111
-2.6692,-2.2998,0.52418,-2.2592,4.1553,-2.5723,99.16,7.9783,-1.4892,-1.2882,2.6824,-0.021663,-0.38348
0.33075,-0.29981,-4.4758,-3.2592,-0.54468,-71.172,-461.34,-2.8217,-5.6892,-4.2882,1.3824,-0.021663,-0.4432
-0.66925,0.70019,-6.4758,2.7408,-71.945,-109.77,-376.54,-9.0217,-13.689,55.712,-3.1176,-0.021663,-1.111
4.3308,-0.29981,1.5242,-2.2592,-6.2447,-37.472,123.96,-5.8217,5.4108,-8.2882,-0.9176,-0.021663,3.5586
4.3308,4.7002,0.52418,0.74081,4.1553,116.13,158.76,2.9783,6.1108,-8.2882,-0.017602,-0.021663,-1.111
-1.6692,1.7002,1.5242,2.7408,1.7553,13.228,132.76,-0.52166,-1.6892,13.712,-2.7176,-0.021663,-1.111
0.33075,-0.29981,1.5242,0.74081,2.6553,30.328,165.96,4.8783,8.7108,-14.288,-2.7176,-0.021663,-1.111
-0.66925,-1.2998,1.5242,2.7408,-0.14468,-14.172,202.56,2.3783,1.5108,10.712,0.8824,-0.021663,0.42369
-3.6692,-0.29981,1.5242,-3.2592,1.4553,-23.172,173.16,0.47834,-0.78917,9.7118,-0.9176,-0.021663,0.030007
-1.6692,-0.29981,-0.47582,1.7408,-0.54468,-59.672,-123.84,-2.8217,5.7108,-1.2882,-2.2176,-0.021663,-0.22313
-2.6692,0.70019,0.52418,1.7408,3.0553,120.23,167.16,-0.62166,4.7108,8.7118,-0.017602,-0.021663,0.8945
-0.66925,-0.29981,1.5242,-3.2592,0.25532,15.628,138.56,-2.0217,-1.1892,-5.2882,-1.8176,-0.021663,0.29262
2.3308,0.70019,1.5242,-2.2592,0.35532,18.628,144.66,-2.0217,1.8108,-7.2882,-1.8176,-0.021663,1.7904
-2.6692,-2.2998,1.5242,0.74081,1.7553,7.0277,120.06,3.1783,4.1108,-7.2882,0.4824,-0.021663,-1.111
-3.6692,-0.29981,1.5242,1.7408,1.5553,-8.5723,203.56,-0.62166,5.3108,-17.288,-0.9176,-0.021663,-1.111
-1.6692,1.7002,-1.4758,0.74081,0.45532,-16.772,-315.84,-1.9217,0.31083,-6.2882,0.4824,-0.021663,-1.111
1.3308,-0.29981,-4.4758,1.7408,0.15532,-68.972,-458.54,-1.1217,-5.5892,-2.2882,-3.1176,-0.021663,1.0172
-2.6692,-0.29981,0.52418,-3.2592,4.3553,24.628,48.36,12.278,11.711,-16.288,-0.4176,-0.021663,0.010652
1.3308,0.70019,-1.4758,0.74081,1.8553,-54.472,-114.64,-1.9217,4.3108,-5.2882,1.3824,-0.021663,-0.32712
