8.8226,0.39932,0,-3.4564,22.505,1.7038,1.794,1.8406,2.2212,5.4924,-3.3859,-8.0669,-7.7848,-0.038756,282.83,-0.76062,-2723.9,-458.38,-6362.2,-15.287,0,0,0,1.58,5.2897,1.0375,-1.0261
3.8226,0.39932,0,2.5436,-22.495,5.9398,5.998,2.9073,-0.49883,-0.26762,-9.2539,81.627,42.23,-0.038756,285.39,1.9854,64134,-1807.4,19807,628.81,0,0,0,5.726,-14.08,3.0375,-10.63
7.8226,0.39932,0,3.5436,22.505,7.4065,7.106,7.9073,6.1472,17.737,-6.6312,12.367,-8.1142,-0.038756,284.57,1.1794,65527,-5645.6,-5825,307.79,0,0,0,8.9474,-17.87,0.037451,-5.0461
-17.177,1.3993,0,5.5436,7.5054,3.5198,3.1753,2.9073,-11.837,-13.356,-1.7566,-8.3095,-17.562,-0.038756,280.82,0.88871,-10771,-9365.8,-16739,-182.43,0,0,0,2.2307,-4.0969,-1.9625,-2.5354
12.823,-0.60068,0,-1.4564,22.505,1.2185,1.3233,5.9073,3.4692,4.2764,-7.9472,16.748,63.153,-0.038756,287.52,0.31138,1125.6,17536,42552,355.17,0,0,0,3.818,-16.997,2.0375,-10.446
10.823,0.39932,0,-8.4564,-7.4946,-1.1815,-1.0193,-2.0927,-16.755,-15.639,2.8741,-17.186,-27.121,-0.038756,-334.49,0.18738,-14749,-13566,-19857,-234.78,0,0,0,-3.4326,7.3191,3.0375,4.3899
-17.177,0.39932,0,-11.456,-7.4946,0.67317,0.56465,-4.0927,8.2912,10.868,-6.1552,-17.724,-28.713,-0.038756,-334.44,-1.0473,-14749,-13566,-19857,-235.78,0,0,0,-1.844,-7.4623,3.0375,-6.9621
7.8226,0.39932,0,-2.4564,-7.4946,1.7652,1.69,6.9073,4.0352,4.9694,-1.8246,52.694,72.145,-0.038756,289.23,-0.26329,-3003.8,70901,34991,484.17,0,0,0,4.1807,-2.6809,0.037451,-1.0048
-15.177,0.39932,0,-7.4564,-7.4946,-1.5662,-1.7327,-2.0927,0.21617,1.9724,6.9968,-17.463,-28.453,-0.038756,-334.36,-1.1306,-14749,-13566,-19857,-235.91,0,0,0,-1.9326,17.122,-1.9625,11.427
11.823,-0.60068,0,4.5436,22.505,5.0465,4.798,9.9073,1.1442,2.0044,-10.881,-8.2282,-19.667,-0.038756,283.72,0.84138,41077,-7523.7,-10274,-11.191,0,0,0,9.362,-27.468,1.0375,-10.975
8.8226,-0.60068,0,-11.456,-22.495,-0.63823,-0.87275,-5.0927,5.4112,4.1594,5.1514,-17.642,-29.314,-0.038756,-334.44,-1.266,-14749,-13566,-19857,-235.85,0,0,0,-2.6646,8.2391,-2.8959,4.9712
-16.177,0.39932,0,5.5436,22.505,0.85447,0.74595,0.90732,-5.5758,-4.2566,3.4554,-12.456,-19.226,-0.038756,280.2,0.54338,-13832,-12247,-18553,-208.84,0,0,0,1.748,9.3857,-2.9625,8.8219
