0.11976,1.1856,-1.1557,-1.5389,0.53477
-1.8802,0.18563,-1.1557,-0.53892,1.6769
-0.88024,-1.8144,-1.1557,-1.5389,1.7586
-1.8802,-0.81437,-0.15569,-1.5389,-0.35074
-1.8802,0.18563,-0.15569,-1.5389,-0.90281
1.1198,2.1856,-1.1557,-0.53892,0.023954
1.1198,-0.81437,-1.1557,-0.53892,0.65994
-0.88024,-1.8144,0.84431,1.4611,-0.086043
-0.88024,0.18563,1.8443,2.4611,-0.62837
2.1198,-1.8144,-1.1557,-0.53892,2.0608
-1.8802,-0.81437,-0.15569,-0.53892,-0.086043
-0.88024,-0.81437,-0.15569,-0.53892,-0.18368
0.11976,-1.8144,-1.1557,-1.5389,1.5879
-0.88024,0.18563,-1.1557,-1.5389,1.4903
2.1198,-0.81437,-0.15569,0.46108,0.12305
1.1198,-1.8144,-0.15569,-0.53892,-1.1392
0.11976,2.1856,-1.1557,-1.5389,0.39168
0.11976,-1.8144,0.84431,-1.5389,-0.47995
2.1198,2.1856,-0.15569,0.46108,-0.04058
1.1198,-1.8144,0.84431,1.4611,-0.71175
0.11976,-1.8144,1.8443,2.4611,-0.13367
2.1198,1.1856,-1.1557,-1.5389,0.023954
-1.8802,-0.81437,-0.15569,0.46108,0.16009
-0.88024,2.1856,0.84431,1.4611,-0.62837
2.1198,-0.81437,-0.15569,-1.5389,0.29588
2.1198,1.1856,-1.1557,-0.53892,0.39168
2.1198,-1.8144,-0.15569,-1.5389,0.0029048
2.1198,0.18563,1.8443,2.4611,-0.80272
0.11976,1.1856,-0.15569,-0.53892,-1.2823
-1.8802,-0.81437,1.8443,2.4611,-0.41326
-0.88024,2.1856,-1.1557,-1.5389,1.4376
2.1198,1.1856,-0.15569,-0.53892,-0.71175
1.1198,-0.81437,-0.15569,-1.5389,-0.23633
-1.8802,-1.8144,-1.1557,-0.53892,1.8698
2.1198,2.1856,0.84431,1.4611,-1.1392
0.11976,0.18563,0.84431,1.4611,-0.55141
0.11976,1.1856,-0.15569,-1.5389,-1.4494
-0.88024,1.1856,-0.15569,0.46108,0.16009
-0.88024,-1.8144,0.84431,0.46108,-0.2919
-1.8802,-1.8144,0.84431,0.46108,-0.23633
0.11976,-0.81437,1.8443,2.4611,-0.47995
-1.8802,-0.81437,-1.1557,-0.53892,1.6334
2.1198,0.18563,0.84431,1.4611,-0.80272
0.11976,0.18563,-1.1557,-0.53892,1.5879
2.1198,-1.8144,0.84431,1.4611,-0.41326
2.1198,-0.81437,-1.1557,-0.53892,0.77116
2.1198,-1.8144,-1.1557,-1.5389,2.0894
0.11976,1.1856,0.84431,1.4611,-0.55141
2.1198,2.1856,-0.15569,-0.53892,-0.55141
0.11976,0.18563,-0.15569,0.46108,0.044578
0.11976,2.1856,-0.15569,0.46108,0.1958
-1.8802,0.18563,-1.1557,-1.5389,1.4903
-1.8802,1.1856,-1.1557,-1.5389,1.5403
